Rank,genre,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total,avg
1,Comedy,69,80,68,81,73,76,104,76,62,75,76,65,89,94,62,41,31,66,46,1334,70.21
2,Drama,58,57,66,67,62,59,126,91,44,50,67,59,85,101,51,35,20,84,95,1277,67.21
3,Action,14,8,16,30,9,10,13,17,12,17,30,29,38,44,19,18,22,51,47,444,23.37
4,Horror,8,10,17,18,13,22,51,29,14,27,17,17,41,43,24,10,10,29,27,427,22.47
5,Thriller,13,15,16,5,14,9,12,18,12,10,14,22,42,45,25,19,18,23,39,371,19.53
6,Documentary,11,10,9,12,21,15,59,33,10,12,12,10,12,40,2,1,0,7,6,282,14.84
7,Romance,6,9,9,26,8,3,14,23,9,21,24,20,16,18,15,8,7,17,17,270,14.21
8,Crime,14,19,23,30,14,14,24,27,7,11,5,6,6,18,3,2,4,16,16,259,13.63
9,Science Fiction,12,11,16,9,13,9,9,10,10,19,6,9,7,13,12,7,9,16,14,211,11.11
10,Animated,8,6,10,9,9,7,21,14,12,11,3,11,12,18,4,4,10,17,11,197,10.37
11,Family,6,1,7,15,13,4,6,12,7,12,17,19,15,6,0,1,1,2,8,152,8
12,Adventure,4,3,5,2,6,6,5,6,6,8,8,10,8,15,4,6,7,23,10,142,7.47
13,Fantasy,3,8,2,7,2,7,8,9,6,10,10,7,6,9,8,3,5,9,12,131,6.89
14,Biography,8,4,6,7,10,7,9,6,7,6,4,3,3,3,3,2,0,23,18,129,6.79
15,Musical,3,6,4,8,2,4,4,8,6,7,1,3,5,6,2,0,1,3,4,77,4.05
16,Superhero,0,0,1,4,4,3,4,4,6,1,4,6,4,6,3,0,3,4,9,66,3.47
17,War,3,7,5,6,3,2,4,1,5,4,0,0,2,2,2,2,0,5,1,54,2.84
18,Satire,2,2,1,3,0,0,6,4,3,3,2,0,2,4,0,0,1,1,0,34,1.79
19,Sports,0,0,0,1,3,2,0,4,2,1,2,2,4,2,0,0,4,2,2,31,1.63
20,Western,1,1,0,3,1,1,1,3,1,1,3,1,2,2,0,1,1,2,1,26,1.37
21,Mystery,0,1,1,0,0,0,0,0,0,1,3,2,2,1,0,2,0,3,3,19,1
